freq,sigma_ext,sigma_sc,d_wall_p
1890,0.0038051459073818058,0.0011711691060007664,1.8000000000000003
1895,0.0037056137058719216,0.001153188234811928,1.8000000000000003
1900,0.0034781253305874176,0.0010946434777658232,1.8000000000000003
1905,0.0031696135095604719,0.0010090265888387342,1.8000000000000003
1910,0.0028283933434527439,0.0009108959149401396,1.8000000000000003
1915,0.0024910634967795944,0.00081168909685230047,1.8000000000000003
1920,0.0021793249822272768,0.00071849453586378636,1.8000000000000003
1925,0.0019027976774425822,0.00063472705387399486,1.8000000000000003
1930,0.0016633781601315476,0.00056137075280753197,1.8000000000000003
1935,0.0014588580937469216,0.00049806151922079087,1.8000000000000003
1940,0.0012852809289164331,0.00044381533924298859,1.8000000000000003
1945,0.0011382609094524481,0.00039744944783661699,1.8000000000000003
1950,0.00101362890841931,0.00035779776667515861,1.8000000000000003
1955,0.00090769531962441323,0.00032380594706232974,1.8000000000000003
1960,0.00081731551029913063,0.00029456227438922472,1.8000000000000003
1965,0.0007398636073135457,0.00026929735264984676,1.8000000000000003
1970,0.0006731704152502185,0.00024737041301960719,1.8000000000000003
1975,0.00061545288310403689,0.00022825132105774759,1.8000000000000003
1980,0.00056524740737913038,0.00021150256977804706,1.8000000000000003
1985,0.00052135160515792765,0.00019676305605302786,1.8000000000000003
1990,0.00048277553753329951,0.0001837342044818351,1.8000000000000003
1995,0.00044870176894961679,0.00017216843139025289,1.8000000000000003
2000,0.00041845306895468468,0.00016185970609208848,1.8000000000000003
2005,0.00039146645991113845,0.00015263589541468021,1.8000000000000003
2010,0.00036727241381326559,0.00014435258109829721,1.8000000000000003
2015,0.00034547817206812996,0.00013688807379441532,1.8000000000000003
2020,0.00032575434187993537,0.00013013939018939504,1.8000000000000003
2025,0.00030782408652794827,0.0001240190015620084,1.8000000000000003
2030,0.00029145436624557122,0.00011845219906430696,1.8000000000000003
2035,0.00027644880043822915,0.00011337495201111724,1.8000000000000003
2040,0.00026264181376282962,0.00010873216081530431,1.8000000000000003
2045,0.00024989380121474472,0.00010447622648434946,1.8000000000000003
2050,0.00023808710468014666,0.00010056587479618811,1.8000000000000003
2055,0.00022712263850411786,9.6965185984263855e-05,1.8000000000000003
2060,0.00021691703671812725,9.3642790871204676e-05,1.8000000000000003
2065,0.00020740022236541073,9.0571202269857802e-05,1.8000000000000003
2070,0.00019851332106392655,8.7726256752206715e-05,1.8000000000000003
2075,0.00019020685788129354,8.5086646790661589e-05,1.8000000000000003
2080,0.00018243919011063454,8.2633527188065087e-05,1.8000000000000003
2085,0.00017517513896774594,8.0350182803637504e-05,1.8000000000000003
2090,0.00016838479148034306,7.8221747032632729e-05,1.8000000000000003
2095,0.00016204245032468362,7.6234962478004525e-05,1.8000000000000003
2100,0.00015612571429740509,7.4377976805565032e-05,1.8000000000000003
2105,0.00015061467603056703,7.2640168048798437e-05,1.8000000000000003
2110,0.00014549122644172917,7.1011994646019751e-05,1.8000000000000003
2115,0.00014073845758224136,6.9484866313740756e-05,1.8000000000000003
2120,0.0001363401571751481,6.805103253050218e-05,1.8000000000000003
2125,0.0001322803891539985,6.6703485950851866e-05,1.8000000000000003
2130,0.00012854315524732409,6.5435878519686793e-05,1.8000000000000003
2135,0.00012511213303420388,6.4242448410192223e-05,1.8000000000000003
2140,0.00012197048602527947,6.3117956226039986e-05,1.8000000000000003
2145,0.00011910074127992191,6.2057629146325253e-05,1.8000000000000003
2150,0.00011648472988946133,6.1057111899764691e-05,1.8000000000000003
2155,0.00011410358536369514,6.0112423631084229e-05,1.8000000000000003
2160,0.0001119377946504674,5.9219919858491355e-05,1.8000000000000003
2165,0.00010996729611675786,5.8376258845930921e-05,1.8000000000000003
2170,0.0001081716185375617,5.757837181055659e-05,1.8000000000000003
2175,0.0001065300547050661,5.6823436473985699e-05,1.8000000000000003
2180,0.00010502186314280094,5.6108853531999445e-05,1.8000000000000003
2185,0.00010362649107562571,5.543222568011886e-05,1.8000000000000003
2190,0.00010232381179091784,5.4791338886428235e-05,1.8000000000000003
2195,0.00010109436945414422,5.4184145636036489e-05,1.8000000000000003
2200,9.9919624507554533e-05,5.3608749921866771e-05,1.8000000000000003
2205,9.8782193065204805e-05,5.3063393774797461e-05,1.8000000000000003
2210,9.766607388214374e-05,5.2546445160613221e-05,1.8000000000000003
2215,9.6556856998419619e-05,5.2056387092304951e-05,1.8000000000000003
2220,9.5441908610531875e-05,5.1591807821357937e-05,1.8000000000000003
2225,9.4310527339533175e-05,5.115139199544191e-05,1.8000000000000003
2230,9.3154067756988167e-05,5.0733912676295078e-05,1.8000000000000003
2235,9.1966027833190187e-05,5.0338224130866778e-05,1.8000000000000003
