freq,sigma_ext,sigma_sc
0.01,0.0022929431713234259,0.0022937247219566126
0.012,0.0048198905789440536,0.004821325293175114
0.014,0.0090753609397209202,0.009077630442417918
0.016,0.015776652337647773,0.015779800503820652
0.018000000000000002,0.025821347032924949,0.025825158931347833
0.02,0.040324146800965653,0.040328012500651683
0.021999999999999999,0.060663970355255968,0.060666747045995985
0.024,0.088544087118210421,0.088543976479281208
0.026000000000000002,0.12606894769652863,0.12606340814103489
0.028000000000000004,0.17584254311613301,0.17582825834589108
0.029999999999999999,0.24109467880168181,0.24106760472383126
0.032000000000000001,0.32584361013210428,0.32579912161110736
0.034000000000000002,0.43510621150223455,0.4350393684034829
0.036000000000000004,0.57517042647974026,0.57507637508176224
0.037999999999999999,0.75394937117584249,0.75382389205914069
0.040000000000000001,0.98144229109099812,0.98128249793753741
0.042000000000000003,1.2703345819209129,1.2701397669562318
0.044000000000000004,1.6367767804575672,1.6365493907331399
0.046000000000000006,2.1013892059013366,2.1011359189746521
0.048000000000000001,2.6905407709282994,2.6902736163396503
0.050000000000000003,3.4379384095611458,3.4376758495383655
0.052000000000000005,4.3865188326505766,4.3862866652527064
0.053999999999999999,5.5905199256885734,5.5903517958153532
0.056000000000000001,7.1173566654844826,7.1172938512681378
0.058000000000000003,9.0484212428726867,9.0485112152047389
0.060000000000000005,11.477009287029958,11.477302324407828
0.062000000000000006,14.500116759280827,14.500659701755922
0.064000000000000001,18.199065779431681,18.19989202785435
0.066000000000000003,22.603115411383772,22.60423097722575
0.068000000000000005,27.633978236994295,27.635345731743577
0.069999999999999993,33.043185288198721,33.044711615737896
0.071999999999999995,38.379775543759784,38.38131322787153
0.073999999999999996,43.044016914258698,43.04538847574355
0.075999999999999998,46.451893103318291,46.452937239351186
0.078,48.243371737777863,48.243993131002433
0.080000000000000002,48.400762844757445,48.400960577784218
0.082000000000000003,47.202815871595483,47.202678745664244
0.083999999999999991,45.071058135039713,45.070735879648275
0.085999999999999993,42.420011009975752,42.419679311331365
0.087999999999999995,39.574562131016052,39.574394325724278
0.089999999999999997,36.75187519766915,36.752024508688955
0.091999999999999998,34.078216588759254,34.078807221552402
0.094,31.615578593205878,31.616702503668883
0.096000000000000002,29.385503315842112,29.387220006578982
0.09799999999999999,27.386444577840539,27.388782283659747
0.099999999999999992,25.605089858254804,25.608047276477407
0.10199999999999999,24.023229508103224,24.026777724295009
0.104,22.621706060189137,22.625790569897717
0.106,21.382589701892361,21.387132544056687
0.108,20.290350282210678,20.295252333765934
0.11,19.332522278759257,19.337665771612084
0.112,18.500187184937118,18.505438495892175
0.114,17.788507111082705,17.793719876942237
0.11599999999999999,17.197517359754364,17.202535996106263
0.11799999999999999,16.733419732671617,16.738083478910116
0.12,16.410723803742865,16.414871553289114
0.122,16.255794092467976,16.259270516602676
0.124,16.312742435636601,16.315406423197647
0.126,16.653261332986244,16.65499879057516
0.128,17.393031094583232,17.393776199419221
0.13,18.718576538607213,18.71834958042917
0.13200000000000001,20.928094160290254,20.927071609737094
0.13400000000000001,24.478950241598948,24.477593657194411
0.13600000000000001,29.979814537305142,29.979085423097516
0.13800000000000001,37.883777321540066,37.885377697439658
0.14000000000000001,47.377429178162409,47.383629766828385
0.14200000000000002,54.890073506096726,54.902245447454774
0.14400000000000002,56.052007446873212,56.068646372945736
0.14600000000000002,51.068213866236448,51.085871489376181
0.14800000000000002,43.801742052519728,43.817793839418883
0.15000000000000002,37.044750489594783,37.058186453989734
0.15200000000000002,31.630081238782058,31.640863661359358
0.15400000000000003,27.48464397466957,27.493108489186682
0.156,24.323522264428131,24.330094713035685
0.158,21.882109070848337,21.887203275904476
0.16,19.960768627469882,19.964757272067367
0.16200000000000001,18.417755167551565,18.420965666642832
0.16400000000000001,17.153809642447662,17.156527060161821
0.16600000000000001,16.099103194131786,16.101574210206778
0.16800000000000001,15.203908271429773,15.206344518503341
0.17000000000000001,14.432280652937667,14.434861205550432
0.17200000000000001,13.757845629578023,13.760718854983727
0.17400000000000002,13.160990565238535,13.164275633563287
0.17600000000000002,12.626991475683424,12.630779793038707
0.17800000000000002,12.144770897135732,12.149127668044658
0.18000000000000002,11.706102421797995,11.7110684877347
0.18200000000000002,11.305162345024813,11.310756393752499
0.18400000000000002,10.938400506488064,10.944621703280699
0.186,10.604783191775072,10.611614247970204
0.188,10.306586883617086,10.313997549277529
0.19,10.051168495632938,10.059119438365821
0.192,9.8546929230765592,9.8631399239816009
0.19400000000000001,9.7501777839486028,9.7590761060769093
0.19600000000000001,9.8059787116607851,9.8152872247470615
0.19800000000000001,10.172211996914834,10.181895520595816
0.20000000000000001,11.210916015814529,11.220939284480007
0.20200000000000001,13.905173427167627,13.915454315135692
0.20400000000000001,21.136004327320443,21.146151627653843
0.20600000000000002,37.40368065941702,37.411949400255253
0.20800000000000002,40.114693162737908,40.120036804937058
0.21000000000000002,24.284640277926609,24.290475425796956
0.21200000000000002,15.295193632106127,15.301983443423012
0.21400000000000002,10.938482163631633,10.945786148816234
0.21600000000000003,8.4936800873556049,8.5011270686817291
0.21800000000000003,6.9403466231980255,6.9476171025936484
0.22,5.9046891895838627,5.9114751642534786
0.222,5.2495515870671463,5.2555657823527815
0.224,4.9194502831458342,4.9244754910297486
0.22600000000000001,4.8696455004291437,4.8735963838161442
0.22800000000000001,5.0365512478826115,5.0395093623022493
0.23000000000000001,5.3389628727613792,5.3411594737622785
0.23200000000000001,5.6963169942143086,5.6980726916773916
0.23400000000000001,6.0460219920319247,6.0476755830283544
0.23600000000000002,6.3498929687653201,6.3517469026913105
0.23800000000000002,6.5909494101389487,6.5932405634330822
0.24000000000000002,6.7663725936425809,6.7692633642885109
